"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"103","Cybersonics","155","176.7","1706","1854","16.4","91.2","69.1","0.54","0.21","-0.34","2026arc","Archimedes Division","8","42-16-2","0.717"
"7415","Jaguar Robotics Sponsored B...","156","176.6","1706","1853","49.5","93.5","33.6","0.43","0.37","-0.34","2026gal","Galileo Division","8","49-17-0","0.742"
"190","Gompei and the HERD","157","175.8","1704","1851","33","92.9","50","0.51","0.27","-0.35","2026joh","Johnson Division","8","78-26-0","0.750"
"3006","Red Rock Robotics","158","175.7","1704","1851","38.9","95.3","41.4","0.32","0.13","-0.34","2026arc","Archimedes Division","8","32-10-0","0.762"
"8046","LakerBots","159","174.5","1702","1848","28.6","102.1","43.8","0.43","0.18","-0.34","2026new","Newton Division","8","33-25-0","0.569"
"3478","PrepaTec - LamBot","160","173.9","1702","1846","39.3","98.8","35.8","0.58","0.07","-0.34","2026dal","Daly Division","8","28-13-0","0.683"
"9609","Paraducks","161","173.8","1701","1846","44.3","90.4","39.1","0.55","0","-0.34","2026cur","Curie Division","8","37-11-0","0.771"
"3620","Average Joes","162","173.8","1701","1846","26","99.3","48.5","0.51","0.18","-0.34","2026joh","Johnson Division","8","39-18-0","0.684"
"340","G.R.R. (Greater Rochester R...","163","172.5","1699","1843","39.3","96.9","36.4","0.62","-0.03","-0.34","2026dal","Daly Division","8","31-9-0","0.775"
"4020","Cyber Tribe","164","171.9","1698","1841","40.1","91.9","39.9","0.45","0","-0.34","2026gal","Galileo Division","8","28-12-0","0.700"
"1986","Team Titanium","165","171.8","1698","1841","39.9","96.3","35.5","0.51","0.1","-0.34","2026hop","Hopper Division","8","34-10-0","0.773"
"5199","Robot Dolphins From Outer S...","166","171.7","1698","1840","33","91.1","47.6","0.36","0.35","-0.34","2026cur","Curie Division","8","46-16-0","0.742"
"9401","Midas' Mayhem","167","171.5","1698","1840","35","95.8","40.7","0.48","0.02","-0.34","2026arc","Archimedes Division","8","30-12-0","0.714"
"2137","The Oxford RoboCats","168","171.4","1698","1840","46","78.9","46.6","0.66","0.31","-0.34","2026arc","Archimedes Division","8","48-16-0","0.750"
"7407","Wired Boars","169","171.2","1697","1839","37","79.8","54.4","0.58","0.35","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","46-24-0","0.657"
"836","The RoboBees","170","171","1697","1839","35.7","94.9","40.5","0.51","0.15","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","56-13-0","0.812"
